"ID"	"species"	"family"
"TP0028"	"Lotus japonicus"	"Fabaceae"
"TP0029"	"Chenopodium quinoa"	"Chenopodiaceae"
"TP0050"	"Chenopodium quinoa"	"Chenopodiaceae"
"TP0051"	"Chenopodium quinoa"	"Chenopodiaceae"
"TP0066"	"Chenopodium quinoa"	"Chenopodiaceae"
"TP0078"	"Oryza sativa subsp. japonica"	"Poaceae"
"TP0089"	"Citrus sinensis"	"Rutaceae"
"TP0091"	"Ailanthus altissima"	"Simaroubaceae"
"TP0093"	"Chenopodium quinoa"	"Chenopodiaceae"
"TP0103"	"Brachypodium distachyon"	"Poaceae"
"TP0106"	"Triticum aestivum"	"Poaceae"
"TP0109"	"Citrus sinensis"	"Rutaceae"
"TP0111"	"Ailanthus altissima"	"Simaroubaceae"
"TP0114"	"Ailanthus altissima"	"Simaroubaceae"
"TP0133"	"Avena strigosa"	"Poaceae"
"TP0143"	"Spinacia oleracea"	"Chenopodiaceae"
"TP0149"	"Tripterygium wilfordii"	"Celastraceae"
"TP0162"	"Citrus sinensis"	"Rutaceae"
"TP0163"	"Citrus sinensis"	"Rutaceae"
"TP0164"	"Melia azedarach"	"Meliaceae"
"TP0165"	"Melia azedarach"	"Meliaceae"
"TP0179"	"Dioscorea zingiberensis"	"Dioscoreaceae"
"TP0197"	"Lotus japonicus"	"Fabaceae"
"TP0200"	"Dioscorea zingiberensis"	"Dioscoreaceae"
"TP0202"	"Dioscorea zingiberensis"	"Dioscoreaceae"
"TP0205"	"Iberis amara"	"Brassicaceae"
"TP0206"	"Iberis amara"	"Brassicaceae"
"TP0215"	"Centella asiatica"	"Apiaceae"
"TP0250"	"Quillaja saponaria"	"Quillajaceae"
"TP0258"	"Spinacia oleracea"	"Chenopodiaceae"
"TP0259"	"Quillaja saponaria"	"Quillajaceae"
"TP0262"	"Tripterygium wilfordii"	"Celastraceae"
"TP0267"	"Quillaja saponaria"	"Quillajaceae"
"TP0272"	"Citrus sinensis"	"Rutaceae"
"TP0274"	"Melia azedarach"	"Meliaceae"
"TP0275"	"Ilex asprella"	"Aquifoliaceae"
"TP0283"	"Panax ginseng"	"Araliaceae"
"TP0315"	"Spinacia oleracea"	"Chenopodiaceae"
"TP0316"	"Quillaja saponaria"	"Quillajaceae"
"TP0317"	"Quillaja saponaria"	"Quillajaceae"
"TP0318"	"Quillaja saponaria"	"Quillajaceae"
"TP0319"	"Quillaja saponaria"	"Quillajaceae"
"TP0320"	"Quillaja saponaria"	"Quillajaceae"
"TP0326"	"Spinacia oleracea"	"Chenopodiaceae"
"TP0327"	"Quillaja saponaria"	"Quillajaceae"
"TP0328"	"Spinacia oleracea"	"Chenopodiaceae"
"TP0329"	"Spinacia oleracea"	"Chenopodiaceae"
"TP0332"	"Quillaja saponaria"	"Quillajaceae"
"TP0333"	"Quillaja saponaria"	"Quillajaceae"
"TP0351"	"Beta vulgaris subsp. vulgaris"	"Chenopodiaceae"
"TP0352"	"Chenopodium quinoa"	"Chenopodiaceae"
"TP0354"	"Glycine max"	"Fabaceae"
"TP0357"	"Quillaja saponaria"	"Quillajaceae"
"TP0358"	"Quillaja saponaria"	"Quillajaceae"
"TP0364"	"Lactuca sativa"	"Asteraceae"
"TP0365"	"Citrus sinensis"	"Rutaceae"
"TP0366"	"Melia azedarach"	"Meliaceae"
"TP0367"	"Citrus sinensis"	"Rutaceae"
"TP0369"	"Melia azedarach"	"Meliaceae"
"TP0370"	"Melia azedarach"	"Meliaceae"
"TP0371"	"Spinacia oleracea"	"Chenopodiaceae"
"TP0414"	"Citrus sinensis"	"Rutaceae"
"TP0416"	"Melia azedarach"	"Meliaceae"
"TP0417"	"Citrus sinensis"	"Rutaceae"
"TP0418"	"Melia azedarach"	"Meliaceae"
"TP0419"	"Melia azedarach"	"Meliaceae"
"TP0420"	"Citrus sinensis"	"Rutaceae"
"TP0421"	"Melia azedarach"	"Meliaceae"
"TP0422"	"Citrus sinensis"	"Rutaceae"
"TP0436"	"Solanum lycopersicum"	"Solanaceae"
